Season,Name,Tm,PA,playerId,MLBAMID,playerNameASCII,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,xBA,xSLG,xwOBA,CompSw,BatSpd,FastSw%,SwgLng,SqUpCon%,SqUpSw%,BlastCon%,BlastSw%,Tilt,AtkAng,AtkDir,IdealAtkAng%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Pace
2023,Xander Bogaerts,SDP,103,12161,593428,Xander Bogaerts,23,93,32,24,3,2,3,15,15,5,0,14,1,4,0,1,3,1,0.344086021,0.048543689,0.13592233,0.357142857,0.368932038,0.516129032,0.88506107,0.172043011,0.3625,17.09705119344643,4.547100660831246,0.37153104092310935,138.01583716293587,1.678571428,0.096385542,0.56626506,0.337349397,0.071428571,0.107142857,0.255319148,0,0.42168675,0.25301205,0.3253012,0.21686747,0.55421687,0.22891566,83,84.36024112012012,109.2,5.819277108433735,4,0.04819277,19,0.22891566,0.21169481577566995,0.3351827506564297,0.2576776859486132,72,69.62818039788141,0.06944444,7.145590980847676,0.31666667,0.26388889,0.08333333,0.06944444,33.772032817204796,10.127117375532785,-3.0496127837234073,0.625,0.26436782,0.55609756,0.42216359,0.73913043,0.88596491,0.84375,0.5408971,0.63106796,0.06596306,0.24538259,0.31134565,17.74452555
2023,Marcus Semien,TEX,753,12533,543760,Marcus Semien,162,670,185,112,40,4,29,122,100,72,1,110,5,5,0,5,14,3,0.276119402,0.095617529,0.146082337,0.654545454,0.348404255,0.47761194,0.826016195,0.201492538,0.291044776,114.17251355590692,22.423846069894946,0.35423160789809754,127.9111308224011,0.726235741,0.196460176,0.338053097,0.465486725,0.076045627,0.110266159,0.099476439,0,0.49380531,0.30442478,0.20176991,0.13120567,0.5248227,0.34397163,566,88.35061939880912,108.6,18.96283185840708,37,0.06537102,209,0.36925795,0.25810167033663156,0.43316234889711297,0.3349320106747055,461,68.77182696956875,0.04989154,7.578464253605576,0.36734694,0.31236443,0.0994898,0.0845987,33.440761007610995,13.852193225393327,-4.213362555700373,0.60086768,0.21382751,0.72961373,0.47126026,0.61333333,0.89705882,0.83257576,0.49910746,0.60956175,0.07890039,0.14601928,0.22491967,18.11116552
2023,George Springer,TOR,568,12856,543807,George Springer,123,512,131,96,17,1,17,72,59,49,0,99,5,1,0,19,16,5,0.255859375,0.086267605,0.174295774,0.494949494,0.326278659,0.392578125,0.718856784,0.13671875,0.287153652,68.13987575093262,-1.0676184483433604,0.31611147990722926,100.67600063495699,1.277777777,0.207729468,0.444444444,0.347826086,0.125,0.118055555,0.065217391,0,0.39613527,0.36231884,0.24154589,0.16425121,0.51449275,0.32125604,415,88.04455182165557,115.9,12.193704600484262,29,0.06987952,158,0.38072289,0.26391754477875357,0.4183951068069028,0.3313656822176051,333,73.01001416455519,0.26726727,7.503852520619069,0.24427481,0.19219219,0.10687023,0.08408408,31.412848962319863,10.092284065288109,-1.6164210496621358,0.51951952,0.22745491,0.73460145,0.49381541,0.55947137,0.86806412,0.80057803,0.52521408,0.6056338,0.09847764,0.13843958,0.23691722,18.79817708
2023,Brandon Nimmo,NYM,680,12927,607043,Brandon Nimmo,150,590,162,102,30,6,24,89,68,74,0,146,11,4,1,6,3,3,0.274576271,0.108823529,0.214705882,0.506849315,0.36377025,0.46779661,0.83156686,0.193220339,0.325471698,106.26679132673237,23.412748975486494,0.3598320191844047,129.74128697997025,1.057471264,0.199105145,0.411633109,0.389261744,0.126436781,0.137931034,0.065217391,0.5,0.34298441,0.34075724,0.31625835,0.1403118,0.4766147,0.3830735,449,91.86196866558168,112,12.026845637583893,43,0.09576837,216,0.48106904,0.2580591061746256,0.45894913995244774,0.35252070329991203,442,72.72457345470583,0.27149321,7.23308363435495,0.36464088,0.29864253,0.17679558,0.14479638,28.4531912242665,5.601305944566948,-0.5973893875815607,0.45475113,0.19895288,0.62266667,0.42298202,0.57518797,0.87366167,0.8075,0.52872753,0.62058824,0.08142404,0.20162143,0.28304547,17.98467967
2023,Mookie Betts,LAD,691,13611,605141,Mookie Betts,151,582,178,98,40,1,39,126,107,96,3,107,8,5,0,5,14,3,0.305841924,0.138929088,0.154848046,0.897196261,0.408104196,0.5790378,0.987141996,0.273195876,0.315192743,140.45855189432191,56.26422356386471,0.4164166728597741,164.92040540676592,0.575107296,0.235416666,0.279166666,0.485416666,0.090128755,0.167381974,0.067164179,0,0.46458333,0.35416667,0.18125,0.09791667,0.49166667,0.41041667,480,92.43312499523162,110.1,20.53125,60,0.125,233,0.48541667,0.28670763272709693,0.5705579438311195,0.40741561459841713,379,71.41893321417253,0.21108179,7.197239269367309,0.41348974,0.37203166,0.14662757,0.13192612,36.26082279940079,11.783745329109534,-6.791686604580889,0.56992084,0.16678753,0.60361718,0.38100517,0.56086957,0.93133583,0.84869059,0.49039172,0.59334298,0.05764967,0.20473023,0.2623799,18.03174603
2023,Ketel Marte,ARI,204,13613,606466,Ketel Marte,46,186,58,38,10,4,6,29,21,15,1,23,2,1,0,6,2,2,0.311827956,0.073529411,0.112745098,0.652173913,0.367647058,0.505376344,0.873023402,0.193548388,0.329113924,33.9020906463132,9.045877940939434,0.3717669583306524,133.5146357880958,1.381818181,0.201219512,0.463414634,0.335365853,0.127272727,0.109090909,0.065789473,0,0.43902439,0.29878049,0.26219512,0.15243902,0.51219512,0.33536585,164,89.25304898983094,113.6,9.603658536585366,10,0.06097561,62,0.37804878,0.28468549169439783,0.44204737998605254,0.34330886039593866,115,76.31245369289232,0.66086957,7.6465953536655595,0.29896907,0.25217391,0.19587629,0.16521739,33.01479346233865,6.550643220414286,-3.6852875947790302,0.46956522,0.28191489,0.69491525,0.48219178,0.72641509,0.90243902,0.84943182,0.48493151,0.60784314,0.07260274,0.15479452,0.22739726,18.18355641
2023,Rob Refsnyder,BOS,100,13770,608701,Rob Refsnyder,28,82,19,16,2,1,0,17,12,15,0,17,2,0,0,1,3,1,0.231707317,0.15,0.17,0.882352941,0.363636363,0.280487804,0.644124167,0.048780487,0.292307692,10.966704700313992,-1.2177132925162848,0.30371236861354173,87.21332710713544,1.8125,0.307692307,0.446153846,0.246153846,0.1875,0,0.103448275,0,0.41538462,0.4,0.18461538,0.16923077,0.61538462,0.21538462,66,87.1859370470047,106.8,10.796875,1,0.01515152,20,0.3030303,0.2525831077831372,0.34955682858887965,0.3352923490016778,52,72.61846571702223,0.17307692,7.2235250381323,0.34090909,0.28846154,0.09090909,0.07692308,34.40704521766076,10.151950606933006,5.350129098846362,0.63461538,0.15183246,0.57674419,0.37684729,0.75862069,0.83870968,0.82352941,0.52955665,0.59,0.06650246,0.21428571,0.28078818,18.11295681
2023,Carlos Correa,MIN,127,14162,621043,Carlos Correa,28,113,27,18,8,0,1,13,8,11,1,27,2,1,0,6,0,0,0.238938053,0.086614173,0.212598425,0.407407407,0.314960629,0.336283185,0.651243814,0.097345132,0.302325581,12.239399610728142,-3.234811240166309,0.28770545361534,79.60602840396831,1.576923076,0.229885057,0.471264367,0.298850574,0.038461538,0.038461538,0,0,0.32183908,0.36781609,0.31034483,0.17241379,0.49425287,0.33333333,87,91.39411764705882,110.9,8.267441860465116,4,0.04597701,42,0.48275862,0.24910303018567664,0.37461686785844667,0.3127437209440095,130,73.644678908128,0.36923077,7.093836182814378,0.35294118,0.27692308,0.19607843,0.15384615,33.68916028829722,7.858144350235278,-0.10168587886370145,0.40769231,0.29875519,0.64732143,0.46666667,0.56944444,0.88275862,0.77880184,0.48172043,0.62204724,0.10322581,0.19354839,0.29677419,18.43491124
2023,Jorge Soler,MIA,77,14221,624585,Jorge Soler,17,64,18,11,2,0,5,10,9,11,2,21,1,1,0,2,0,0,0.28125,0.142857142,0.272727272,0.523809523,0.389610389,0.546875,0.936485389,0.265625,0.333333333,13.924020522259045,4.542018667779734,0.3894004678726196,144.9838674650117,0.809523809,0.136363636,0.386363636,0.477272727,0,0.238095238,0,0,0.5,0.27272727,0.22727273,0.06818182,0.52272727,0.40909091,44,95.23409115184437,111.9,16.5,9,0.20454545,26,0.59090909,0.27734530105954036,0.5975893528375309,0.40594895030061406,111,75.51383003028664,0.56756757,7.810758766827282,0.37037037,0.27027027,0.25925926,0.18918919,33.850002718401385,9.96744686123487,-6.350665134889585,0.56756757,0.24861878,0.5862069,0.39877301,0.62222222,0.81176471,0.74615385,0.44478528,0.49350649,0.10122699,0.18711656,0.28834356,18.41832669
2023,Tony Kemp,OAK,204,14894,643393,Tony Kemp,47,180,40,32,5,2,1,19,11,15,0,17,3,2,4,4,11,2,0.222222222,0.073529411,0.083333333,0.882352941,0.29,0.288888888,0.578888888,0.066666666,0.237804878,15.151172050411473,-9.705040654962293,0.2610917955636978,65.67706609067287,1.375,0.173913043,0.478260869,0.347826086,0.071428571,0.017857142,0.064935064,0.125,0.46153846,0.37278107,0.16568047,0.10059172,0.65088757,0.24852071,169,86.48881995159647,103,9.819875776397515,1,0.00591716,31,0.18343195,0.23813298095936059,0.31775601871971354,0.2821073510777205,146,64.95680947499733,0.00684932,6.779016285726469,0.45384615,0.40410959,0.03076923,0.02739726,32.3235776848989,9.11423148587346,1.7035259373026759,0.60273973,0.247557,0.67297297,0.48005908,0.80263158,0.93975904,0.90769231,0.5465288,0.60784314,0.04431315,0.19054653,0.23485968,18.4055794
