Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Corbin Carroll","ARI",10.251691058278084,"Corbin Carroll",25878,682998
"Elly De La Cruz","CIN",9.371771136298776,"Elly De La Cruz",26668,682829
"Byron Buxton","MIN",8.509131351485848,"Byron Buxton",14161,621439
"Trea Turner","PHI",7.944607982411981,"Trea Turner",16252,607208
"Trevor Story","BOS",7.799040872603655,"Trevor Story",12564,596115
"CJ Abrams","WSN",7.438190378248692,"CJ Abrams",25768,682928
"Bobby Witt Jr.","KCR",7.376232931390405,"Bobby Witt Jr.",25764,677951
"Gunnar Henderson","BAL",7.325930083170533,"Gunnar Henderson",26289,683002
"José Ramírez","CLE",7.305628092959523,"Jose Ramirez",13510,608070
"Jarren Duran","BOS",7.203764915466309,"Jarren Duran",24617,680776
"Pete Crow-Armstrong","CHC",6.682289300486445,"Pete Crow-Armstrong",27769,691718
"Chandler Simpson","TBR",6.490817777812481,"Chandler Simpson",31912,802415
"Victor Scott II","STL",5.867683256044984,"Victor Scott II",31349,687363
"Fernando Tatis Jr.","SDP",5.791675375774503,"Fernando Tatis Jr.",19709,665487
"Oneil Cruz","PIT",5.7666132394224405,"Oneil Cruz",21711,665833
"José Caballero","- - -",5.6133088283240795,"Jose Caballero",23401,676609
"Dansby Swanson","CHC",4.747770855203271,"Dansby Swanson",18314,621020
"Nico Hoerner","CHC",4.531588835641742,"Nico Hoerner",21479,663538
"Zach McKinstry","DET",4.413691034540534,"Zach McKinstry",19392,656716
"Jeremy Peña","HOU",4.245149437338114,"Jeremy Pena",21636,665161
"Ceddanne Rafaela","BOS",3.918244104832411,"Ceddanne Rafaela",24262,678882
"Bryson Stott","PHI",3.859598159790039,"Bryson Stott",26294,681082
"Julio Rodríguez","SEA",3.817873176187277,"Julio Rodriguez",23697,677594
"Kyle Tucker","CHC",3.8039943240582943,"Kyle Tucker",18345,663656
"Jake Mangum","TBR",3.732097877189517,"Jake Mangum",26202,663968
"Geraldo Perdomo","ARI",3.728692654520273,"Geraldo Perdomo",22799,672695
"Shohei Ohtani","LAD",3.6477859746664762,"Shohei Ohtani",19755,660271
"Myles Straw","TOR",3.6228037159889936,"Myles Straw",17620,664702
"Xavier Edwards","MIA",3.5847664568573236,"Xavier Edwards",22266,669364
"Jung Hoo Lee","SFG",3.5083877723664045,"Jung Hoo Lee",33824,808982
"Matt McLain","CIN",3.387715732678771,"Matt McLain",29695,680574
"Lawrence Butler","ATH",3.280723398551345,"Lawrence Butler",22542,671732
"Colt Keith","DET",3.162021156400442,"Colt Keith",27899,690993
"Jackson Chourio","MIL",3.048054128885269,"Jackson Chourio",28806,694192
"Cedric Mullins","- - -",3.004701605066657,"Cedric Mullins",17929,656775
"Jasson Domínguez","NYY",3.0044187158346176,"Jasson Dominguez",28080,691176
"Zach Neto","LAA",2.951117519289255,"Zach Neto",31347,687263
"Jazz Chisholm Jr.","NYY",2.9273836463689804,"Jazz Chisholm Jr.",20454,665862
"Marcus Semien","TEX",2.9019688423722982,"Marcus Semien",12533,543760
"Christian Yelich","MIL",2.8168803099542856,"Christian Yelich",11477,592885
"Josh Lowe","TBR",2.792551711201668,"Josh Lowe",19953,666139
"George Springer","TOR",2.7462664991617203,"George Springer",12856,543807
"Francisco Lindor","NYM",2.7155311722308397,"Francisco Lindor",12916,596019
"Juan Soto","NYM",2.67998487688601,"Juan Soto",20123,665742
"Evan Carter","TEX",2.6774653512984514,"Evan Carter",27790,694497
"Brandon Marsh","PHI",2.6629708874970675,"Brandon Marsh",20202,669016
"Brice Turang","MIL",2.6078031416982412,"Brice Turang",22186,668930
"Sal Frelick","MIL",2.5559869315475225,"Sal Frelick",29622,686217
"Tyrone Taylor","NYM",2.5549123100936413,"Tyrone Taylor",13675,621438
"Joey Ortiz","MIL",2.5322644412517548,"Joey Ortiz",25493,687401
"Oswald Peraza","- - -",2.3470613956451416,"Oswald Peraza",22823,672724
