Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Corbin Carroll","ARI",12.280144848395139,"Corbin Carroll",25878,682998
"Trea Turner","PHI",9.407949651125818,"Trea Turner",16252,607208
"CJ Abrams","WSN",9.192982031498104,"CJ Abrams",25768,682928
"Ronald Acuña Jr.","ATL",8.848257632460445,"Ronald Acuna Jr.",18401,660670
"Esteury Ruiz","OAK",8.315601525362581,"Esteury Ruiz",21780,665923
"Bobby Witt Jr.","KCR",7.620079798158258,"Bobby Witt Jr.",25764,677951
"Christian Yelich","MIL",7.259500440675765,"Christian Yelich",11477,592885
"Jarren Duran","BOS",7.2200355008244514,"Jarren Duran",24617,680776
"Nico Hoerner","CHC",6.860206282697618,"Nico Hoerner",21479,663538
"Elly De La Cruz","CIN",6.63044682983309,"Elly De La Cruz",26668,682829
"Jorge Mateo","BAL",6.173293911386281,"Jorge Mateo",17273,622761
"TJ Friedl","CIN",6.059391342103481,"TJ Friedl",19522,670770
"Gunnar Henderson","BAL",5.804986735340208,"Gunnar Henderson",26289,683002
"Julio Rodríguez","SEA",5.207882939372212,"Julio Rodriguez",23697,677594
"Willi Castro","MIN",5.033168064896017,"Willi Castro",17338,650489
"Michael Harris II","ATL",4.992979563307017,"Michael Harris II",25931,671739
"Bryson Stott","PHI",4.976390570402145,"Bryson Stott",26294,681082
"Alek Thomas","ARI",4.821354415733367,"Alek Thomas",23792,677950
"Taylor Walls","TBR",4.81975251622498,"Taylor Walls",22458,670764
"Josh Lowe","TBR",4.778423392679542,"Josh Lowe",19953,666139
"Freddie Freeman","LAD",4.494764753151685,"Freddie Freeman",5361,518692
"Jake McCarthy","ARI",4.389688642695546,"Jake McCarthy",21622,664983
"Steven Kwan","CLE",4.258302164264023,"Steven Kwan",24610,680757
"Ha-Seong Kim","SDP",4.145745298359543,"Ha-Seong Kim",27506,673490
"Andrés Giménez","CLE",4.133962403051555,"Andres Gimenez",19950,665926
"Kyle Tucker","HOU",4.054538971744478,"Kyle Tucker",18345,663656
"Jazz Chisholm Jr.","MIA",3.83871105639264,"Jazz Chisholm Jr.",20454,665862
