Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Daulton Varsho","TOR",1.5428034290671349,"Daulton Varsho",19918,662139
"Jose Siri","TBR",1.531578615307808,"Jose Siri",17452,642350
"Wenceel Pérez","DET",1.527475193142891,"Wenceel Perez",22857,672761
"Marcus Semien","TEX",1.46961759775877,"Marcus Semien",12533,543760
"Garrett Hampson","KCR",1.4116991683840752,"Garrett Hampson",19262,641658
"Kevin Pillar","- - -",1.4086127057671547,"Kevin Pillar",12434,607680
"Cody Bellinger","CHC",1.4020802974700928,"Cody Bellinger",15998,641355
"J.P. Crawford","SEA",1.37981116771698,"J.P. Crawford",15491,641487
"Jack Suwinski","PIT",1.3031165301799774,"Jack Suwinski",22244,669261
"Ian Happ","CHC",1.267171949148178,"Ian Happ",17919,664023
"Willy Adames","MIL",1.2247350215911865,"Willy Adames",15986,642715
"Wilyer Abreu","BOS",1.219722494482994,"Wilyer Abreu",23772,677800
"Taylor Walls","TBR",1.1913464069366455,"Taylor Walls",22458,670764
"Anthony Rendon","LAA",1.1666614040732384,"Anthony Rendon",12861,543685
"Stuart Fairchild","CIN",1.1595763266086578,"Stuart Fairchild",20321,656413
"Colton Cowser","BAL",1.1087699010968208,"Colton Cowser",29591,681297
"Noelvi Marte","CIN",1.0785520747303963,"Noelvi Marte",26517,682622
"Michael Toglia","COL",1.0692008286714554,"Michael Toglia",25845,669911
"Jake Bauers","MIL",1.0494647771120071,"Jake Bauers",15194,641343
"Lars Nootbaar","STL",0.984270729124546,"Lars Nootbaar",21454,663457
"Bryan Reynolds","PIT",0.9561477825045586,"Bryan Reynolds",19326,668804
"Austin Martin","MIN",0.9496491774916649,"Austin Martin",27462,668885
"Korey Lee","CHW",0.9254821017384529,"Korey Lee",25543,686676
"Ketel Marte","ARI",0.9185637459158897,"Ketel Marte",13613,606466
"Luis Robert Jr.","CHW",0.9182658866047859,"Luis Robert Jr.",20043,673357
"Manuel Margot","MIN",0.9021133109927177,"Manuel Margot",14712,622534
"Mark Canha","- - -",0.8908097445964813,"Mark Canha",11445,592192
"Santiago Espinal","CIN",0.8812503963708878,"Santiago Espinal",19997,669289
"Kevin Newman","ARI",0.8802195265889168,"Kevin Newman",17696,621028
"Gavin Lux","LAD",0.8132704049348831,"Gavin Lux",19955,666158
"Jackson Holliday","BAL",0.7981676906347275,"Jackson Holliday",31781,702616
"Brent Rooker","OAK",0.7466514632105827,"Brent Rooker",19627,667670
"Brandon Lowe","TBR",0.7123588994145393,"Brandon Lowe",18882,664040
"Amed Rosario","- - -",0.7107024416327477,"Amed Rosario",15518,642708
"Jesús Sánchez","MIA",0.6589167267084122,"Jesus Sanchez",19913,660821
"Ernie Clement","TOR",0.6522068157792091,"Ernie Clement",20352,676391
"Jonny DeLuca","TBR",0.6489228382706642,"Jonny DeLuca",26365,676356
"Randal Grichuk","ARI",0.6168473288416862,"Randal Grichuk",10243,545341
"Teoscar Hernández","LAD",0.6140124127268791,"Teoscar Hernandez",13066,606192
"Mookie Betts","LAD",0.6113351434469223,"Mookie Betts",13611,605141
"Abraham Toro","OAK",0.6113107278943062,"Abraham Toro",19844,647351
"Javier Báez","DET",0.6098634973168373,"Javier Baez",12979,595879
"Miguel Vargas","- - -",0.5813399329781532,"Miguel Vargas",20178,678246
"Harold Ramírez","- - -",0.5742087364196777,"Harold Ramirez",14387,623912
"Ceddanne Rafaela","BOS",0.5690388530492783,"Ceddanne Rafaela",24262,678882
"Michael Massey","KCR",0.5562766790390015,"Michael Massey",27684,686681
"Addison Barger","TOR",0.5360126346349716,"Addison Barger",24598,680718
"Luis García Jr.","WSN",0.514793261885643,"Luis Garcia Jr.",20391,671277
"Tyrone Taylor","NYM",0.5132753849029541,"Tyrone Taylor",13675,621438
"Daz Cameron","OAK",0.5093095079064369,"Daz Cameron",18353,663662
"Jake Cave","COL",0.5014589503407478,"Jake Cave",14477,595909
"Nelson Velázquez","KCR",0.48934657871723175,"Nelson Velazquez",23359,676369
"Patrick Bailey","SFG",0.4742009937763214,"Patrick Bailey",27478,672275
"Enrique Hernández","LAD",0.46286608278751373,"Enrique Hernandez",10472,571771
"Cavan Biggio","- - -",0.42130397632718086,"Cavan Biggio",19252,624415
"Luke Raley","SEA",0.41756707429885864,"Luke Raley",19354,670042
"Ke'Bryan Hayes","PIT",0.41169601678848267,"Ke'Bryan Hayes",18577,663647
"James Wood","WSN",0.3623155951499939,"James Wood",29518,695578
"Colt Keith","DET",0.31594231724739075,"Colt Keith",27899,690993
"Ozzie Albies","ATL",0.30001358687877655,"Ozzie Albies",16556,645277
"Cristian Pache","- - -",0.29444489153684117,"Cristian Pache",19948,665506
"Dylan Carlson","- - -",0.2902096062898636,"Dylan Carlson",20126,666185
"Jordan Westburg","BAL",0.2788216322660446,"Jordan Westburg",27815,676059
"Edward Olivares","PIT",0.27632834017276764,"Edward Olivares",19698,658668
"Josh Jung","TEX",0.27160120755434036,"Josh Jung",26299,673962
"Nick Gonzales","PIT",0.20335707068443298,"Nick Gonzales",27490,693304
"Adam Frazier","KCR",0.17385629564523697,"Adam Frazier",15223,624428
"Steven Kwan","CLE",0.16068462282419205,"Steven Kwan",24610,680757
"Thairo Estrada","SFG",0.12248212099075317,"Thairo Estrada",16426,642731
"Luis Guillorme","- - -",0.07749578729271889,"Luis Guillorme",16451,641645
"Jake Cronenworth","SDP",0.06470921635627747,"Jake Cronenworth",18036,630105
"Ezequiel Tovar","COL",0.0634390339255333,"Ezequiel Tovar",24064,678662
"Blaze Alexander","ARI",0.06076141446828842,"Blaze Alexander",23789,677942
"Gabriel Moreno","ARI",0.05881107598543167,"Gabriel Moreno",22664,672515
"Dominic Canzone","SEA",0.0579562783241272,"Dominic Canzone",26438,686527
"Trey Lipscomb","WSN",0.03372414410114288,"Trey Lipscomb",31567,702358
"Mike Tauchman","CHC",0.029109813272953033,"Mike Tauchman",15274,643565
"DJ Stewart","NYM",0.028502583503723145,"DJ Stewart",17766,621466
"Brooks Lee","MIN",0.021121107041835785,"Brooks Lee",31595,686797
"Fernando Tatis Jr.","SDP",0.0085296630859375,"Fernando Tatis Jr.",19709,665487
"Jared Triolo","PIT",0.00452008843421936,"Jared Triolo",25807,669707
"Jonathan India","CIN",-0.04136642813682556,"Jonathan India",21523,663697
"Paul Goldschmidt","STL",-0.05864518880844116,"Paul Goldschmidt",9218,502671
"Kyle Stowers","- - -",-0.06180518865585327,"Kyle Stowers",26151,669065
"Kevin Kiermaier","- - -",-0.07132396101951599,"Kevin Kiermaier",11038,595281
"Matt Wallner","MIN",-0.11205187439918518,"Matt Wallner",26466,670242
"Austin Hays","- - -",-0.12349644303321838,"Austin Hays",19363,669720
"Joey Meneses","WSN",-0.14697902277112007,"Joey Meneses",14366,608841
"Andy Ibáñez","DET",-0.17438896745443344,"Andy Ibanez",18819,628451
"Robbie Grossman","- - -",-0.17440396174788475,"Robbie Grossman",5254,543257
"Riley Greene","DET",-0.17472798377275467,"Riley Greene",25976,682985
"Joey Ortiz","MIL",-0.1785341277718544,"Joey Ortiz",25493,687401
"Jose Iglesias","NYM",-0.19666896015405655,"Jose Iglesias",10231,578428
"Connor Wong","BOS",-0.20089159160852432,"Connor Wong",19896,657136
"Enmanuel Valdez","BOS",-0.20174884796142578,"Enmanuel Valdez",21716,665839
"Adam Duvall","ATL",-0.23985649645328522,"Adam Duvall",10950,594807
"Edouard Julien","MIN",-0.24362841993570328,"Edouard Julien",27534,666397
"Hunter Goodman","COL",-0.2743443474173546,"Hunter Goodman",29715,696100
"Corey Julks","CHW",-0.29572008550167084,"Corey Julks",20311,667452
"Romy Gonzalez","BOS",-0.32028449326753616,"Romy Gonzalez",21562,663853
"Kyle Tucker","HOU",-0.3206599950790405,"Kyle Tucker",18345,663656
"Ryan O'Hearn","BAL",-0.3212627023458481,"Ryan O'Hearn",16442,656811
"Tyler Freeman","CLE",-0.34026942402124405,"Tyler Freeman",22532,671289
