Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Corbin Carroll","ARI",8.078334042802453,"Corbin Carroll",25878,682998
"Bryson Stott","PHI",6.595704233273864,"Bryson Stott",26294,681082
"Bobby Witt Jr.","KCR",6.373252579011023,"Bobby Witt Jr.",25764,677951
"Jazz Chisholm Jr.","NYY",5.834294073283672,"Jazz Chisholm Jr.",20454,665862
"Konnor Griffin","PIT",5.729140345938504,"Konnor Griffin",35376,804606
"Jackson Merrill","SDP",5.607928669080138,"Jackson Merrill",29490,701538
"Pete Crow-Armstrong","CHC",5.544166071340442,"Pete Crow-Armstrong",27769,691718
"Chandler Simpson","TBR",5.271362144500017,"Chandler Simpson",31912,802415
"Jake McCarthy","COL",5.172080652788281,"Jake McCarthy",21622,664983
"José Ramírez","CLE",4.920780636370182,"Jose Ramirez",13510,608070
"Otto Lopez","MIA",4.768274614587426,"Otto Lopez",19608,672640
"Nasim Nuñez","WSN",4.763177988119423,"Nasim Nunez",25979,683083
"Dansby Swanson","CHC",4.642988745123148,"Dansby Swanson",18314,621020
"Esteury Ruiz","MIA",4.4045962281525135,"Esteury Ruiz",21780,665923
"Jarren Duran","BOS",4.095212120562792,"Jarren Duran",24617,680776
"Nico Hoerner","CHC",3.836499908939004,"Nico Hoerner",21479,663538
"Kevin McGonigle","DET",3.826213890686631,"Kevin McGonigle",33572,805808
"David Hamilton","MIL",3.4536641985177994,"David Hamilton",27531,666152
"Cam Smith","HOU",3.4303680108860135,"Cam Smith",35108,701358
"JJ Wetherholt","STL",3.35236587934196,"JJ Wetherholt",34985,802139
"José Caballero","NYY",3.33661044947803,"Jose Caballero",23401,676609
"Jacob Young","WSN",3.2252380261197686,"Jacob Young",29931,696285
"Royce Lewis","MIN",3.0982090262696147,"Royce Lewis",20437,668904
"Evan Carter","TEX",3.0794676123186946,"Evan Carter",27790,694497
"CJ Abrams","WSN",3.067211135290563,"CJ Abrams",25768,682928
"Travis Bazzana","CLE",3.010078376159072,"Travis Bazzana",34967,683953
"Carson Benge","NYM",2.9727008203044534,"Carson Benge",35177,701807
"Gunnar Henderson","BAL",2.9120419966056943,"Gunnar Henderson",26289,683002
"Oneil Cruz","PIT",2.8062689611688256,"Oneil Cruz",21711,665833
"Trea Turner","PHI",2.6478788312524557,"Trea Turner",16252,607208
"Luke Keaschall","MIN",2.4052206464111805,"Luke Keaschall",33321,807712
"Tristan Peters","CHW",2.3220849093049765,"Tristan Peters",30063,671976
"Taylor Walls","TBR",2.3060404965654016,"Taylor Walls",22458,670764
